User,Hardware (CPU & memory),Operating system,Programming language,SNR,Rate,"Constellation (PAM, PSK, QAM)",Constellation size (M),Quadrature nodes per real part (n),"Operation structure (loop, matrix)","Exponentiation (a^b, e^b·ln(a))","Parallelization (no, SIMD, OMP, cuda, MATLAB)","Maximization algorithm (grid, gradient descent, Newton)",Tolerance,Number of iterations,Total consumed time (ms),Total consumed time (computation units E0) ratio,Total consumed time ratio normalized with M^2
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.5,PAM,2,20,Matrix,e^b·ln(a),No,"Gradient 
(alpha = 0.5,
init_rho = 0.5
max iteracions = 100)",1E-06,60,15.789,,
,,,,,,,4,20,,,,,1E-06,46,34.757,,
,,,,,,,8,20,,,,,1E-06,44,58.107,,
,,,,,,,16,20,,,,,1E-06,43,150.32,,
,,,,,,,32,20,,,,,1E-06,43,598.62,,
,,,,,,,64,20,,,,,1E-06,43,2339.2,,
,,,,,,,128,20,,,,,1E-06,43,9531.3,,
,,,,,,,256,20,,,,,1E-06,43,39090.4,,
,,,,,,,512,20,,,,,1E-06,43,301632,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.5,PAM,2,20,Matrix,e^b·ln(a),No,"Newton
(init_rho = 0.5
max iteracions = 100)",1E-06,12,5.8235,E0(0.5)'!L283,
,,,,,,,4,20,,,,,1E-06,10,11.702,,
,,,,,,,8,20,,,,,1E-06,10,19.799,,
,,,,,,,16,20,,,,,1E-06,10,35.435,,
,,,,,,,32,20,,,,,1E-06,10,186.06,,
,,,,,,,64,20,,,,,1E-06,10,695.26,,
,,,,,,,128,20,,,,,1E-06,10,2763,,
,,,,,,,256,20,,,,,1E-06,10,11604.5,,
,,,,,,,512,20,,,,,1E-06,10,76651.1,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.7,PAM,2,20,Matrix,e^b·ln(a),No,"Gradient 
(alpha = 0.5,
init_rho = 0.5
max iteracions = 100)",1E-06,57,10.906,,
,,,,,,,4,20,,,,,1E-06,57,16.283,,
,,,,,,,8,20,,,,,1E-06,35,47.546,,
,,,,,,,16,20,,,,,1E-06,35,151.113,,
,,,,,,,32,20,,,,,1E-06,35,492.9,,
,,,,,,,64,20,,,,,1E-06,35,1793,,
,,,,,,,128,20,,,,,1E-06,35,6909.94,,
,,,,,,,256,20,,,,,1E-06,35,27898.2,,
,,,,,,,512,20,,,,,1E-06,35,206874.47,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.7,PAM,2,20,Matrix,e^b·ln(a),No,"Newton
(init_rho = 0.5
max iteracions = 100)",1E-06,7,6.4729,,
,,,,,,,4,20,,,,,1E-06,7,7.5774,,
,,,,,,,8,20,,,,,1E-06,7,13.281,,
,,,,,,,16,20,,,,,1E-06,7,31.622,,
,,,,,,,32,20,,,,,1E-06,7,165.69,,
,,,,,,,64,20,,,,,1E-06,7,508.48,,
,,,,,,,128,20,,,,,1E-06,7,1883.9,,
,,,,,,,256,20,,,,,1E-06,7,7924,,
,,,,,,,512,20,,,,,1E-06,7,48080.4,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.3,PAM,2,20,Matrix,e^b·ln(a),No,"Gradient 
(alpha = 0.5,
init_rho = 0.5
max iteracions = 100)",1E-06,100,33.564,,
,,,,,,,4,20,,,,,1E-06,100,34.872,,
,,,,,,,8,20,,,,,1E-06,100,100.62,,
,,,,,,,16,20,,,,,1E-06,100,286.94,,
,,,,,,,32,20,,,,,1E-06,100,1415.5,,
,,,,,,,64,20,,,,,1E-06,100,5467.1,,
,,,,,,,128,20,,,,,1E-06,100,19654.3,,
,,,,,,,256,20,,,,,1E-06,100,85929.6,,
,,,,,,,512,20,,,,,1E-06,100,457122.2,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.3,PAM,2,20,Matrix,e^b·ln(a),No,"Newton
(init_rho = 0.5
max iteracions = 100)",1E-06,21,11.556,,
,,,,,,,4,20,,,,,1E-06,20,13.066,,
,,,,,,,8,20,,,,,1E-06,20,24.275,,
,,,,,,,16,20,,,,,1E-06,20,68.847,,
,,,,,,,32,20,,,,,1E-06,20,401.42,,
,,,,,,,64,20,,,,,1E-06,20,1381.1,,
,,,,,,,128,20,,,,,1E-06,20,5209.3,,
,,,,,,,256,20,,,,,1E-06,20,23895.7,,
,,,,,,,512,20,,,,,1E-06,20,120878,,
,,,,,,,1024,20,,,,,1E-06,out of memory,,,
Alba,"i5-8250U (8-core CPU, 8GB)",Windows 11 Home 64 bits,MATLAB,1,0.3,PAM,2,20,Matrix,e^b·ln(a),No,"Newton
(init_rho = 0.5
max iteracions = 100)",1E-04,14,7.5551,,
,,,,,,,4,20,,,,,1E-04,14,9.9717,,
,,,,,,,8,20,,,,,1E-04,14,27.878,,
,,,,,,,16,20,,,,,1E-04,13,65.441,,
,,,,,,,32,20,,,,,1E-04,13,251.79,,
,,,,,,,64,20,,,,,1E-04,13,996.92,,
,,,,,,,128,20,,,,,1E-04,13,3641.8,,
,,,,,,,256,20,,,,,1E-04,13,13529.5,,
,,,,,,,512,20,,,,,1E-04,13,115449.9,,
,,,,,,,1024,20,,,,,1E-04,out of memory,,,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,fminsearch (rho_init = 0.5),1E-07,19,143,13.000,
,,,,,,,128,20,,,,,1E-07,19,1368,39.086,
,,,,,,,256,20,,,,,1E-07,19,5665,37.270,
,,,,,,,512,20,,,,,1E-07,19,21167,27.418,
,,,,,,,1024,20,,,,,1E-07,19,189664,22.430,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,fminsearch (rho_init = 0.5),1E-04,9,237,21.545,
,,,,,,,128,20,,,,,1E-04,9,661,18.886,
,,,,,,,256,20,,,,,1E-04,9,2665,17.533,
,,,,,,,512,20,,,,,1E-04,9,10125,13.115,
,,,,,,,1024,20,,,,,1E-04,9,90587,10.713,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,fminsearch (rho_init = 0.5),1E-07,19,175,17.500,
,,,,,,,128,10,,,,,1E-07,19,445,20.227,
,,,,,,,256,10,,,,,1E-07,19,1407,27.588,
,,,,,,,512,10,,,,,1E-07,19,5559,22.690,
,,,,,,,1024,10,,,,,1E-07,19,21156,25.926,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,fminsearch (rho_init = 0.5),1E-04,9,120,12.000,
,,,,,,,128,10,,,,,1E-04,9,208,9.455,
,,,,,,,256,10,,,,,1E-04,9,674,13.216,
,,,,,,,512,10,,,,,1E-04,9,2570,10.490,
,,,,,,,1024,10,,,,,1E-04,9,9893,12.124,
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-07,2,74,6.727,0.018
,,,,,,,128,20,,,,,1E-07,2,249,7.114,0.015
,,,,,,,256,20,,,,,1E-07,2,984,6.474,0.015
,,,,,,,512,20,,,,,1E-07,2,7718,9.997,0.029
,,,,,,,1024,20,,,,,1E-07,2,296138,35.021,0.282
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-04,1,47,4.273,0.011
,,,,,,,128,20,,,,,1E-04,1,192,5.486,0.012
,,,,,,,256,20,,,,,1E-04,1,656,4.316,0.010
,,,,,,,512,20,,,,,1E-04,1,5010,6.490,0.019
,,,,,,,1024,20,,,,,1E-04,1,182653,21.600,0.174
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,20,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-10,2,100,9.091,0.024
,,,,,,,128,20,,,,,1E-10,2,263,7.514,0.016
,,,,,,,256,20,,,,,1E-10,2,1102,7.250,0.017
,,,,,,,512,20,,,,,1E-10,2,10313,13.359,0.039
,,,,,,,1024,20,,,,,1E-10,2,334157,39.517,0.319
Andreu,"M3 (8-core CPU, 16GB)",macOS,MATLAB,1,0.5,PAM,64,10,Matrix,e^b*ln(a),No,"Newton (with interpolation, max_iter = 100)",1E-07,2,51,5.100,0.012
,,,,,,,128,10,,,,,1E-07,2,94,4.273,0.006
,,,,,,,256,10,,,,,1E-07,2,315,6.176,0.005
,,,,,,,512,10,,,,,1E-07,2,1033,4.216,0.004
,,,,,,,1024,10,,,,,1E-07,2,7984,9.784,0.008
